what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239763600215
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239763600371
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1239763600433
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1239763601510
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1239763601525
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1239763604458
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1239763604505
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763604583
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1239763604645
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1239763604708
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763612258
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763612289
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763614910
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763634488
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763637249
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763637265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763638404
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.RunLast,1239763638404
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763645439
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763648232
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.saveAs,1239763648279
opened,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.JavadocView,1239763654877
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.JavadocView,1239763654893
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1239763656157
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763669417
